Date : 2023-12-28 03:01:00
Directory : c:\Users\nukle\OneDrive\projects\noo\web-2.0
Total : 65 files,  6330 codes, 12 comments, 410 blanks, all 6752 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\Utils\transliteration.ts                  | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Core\index.ts                                  | TypeScript         |         23 |          5 |          5 |         33 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\CourseController.ts                    | TypeScript         |         98 |          0 |          8 |        106 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\CourseValidator.ts                     | TypeScript         |         76 |          0 |          5 |         81 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Course.ts                         | TypeScript         |         11 |          1 |          2 |         14 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\CourseModel.ts                    | TypeScript         |         48 |          0 |         12 |         60 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\CourseRepository.ts               | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseChapter.ts        | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseChapterModel.ts   | TypeScript         |         44 |          0 |         11 |         55 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseMaterial.ts       | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Data\Relations\CourseMaterialModel.ts  | TypeScript         |         64 |          0 |         13 |         77 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Courses\Services\CourseService.ts              | TypeScript         |         64 |          0 |         16 |         80 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\LoginCredentials.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\User.ts                             | TypeScript         |         17 |          1 |          2 |         20 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\UserModel.ts                        | TypeScript         |         85 |          0 |         18 |        103 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Data\UserRepository.ts                   | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\Services\UserService.ts                  | TypeScript         |         65 |          0 |         16 |         81 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\UserController.ts                        | TypeScript         |        107 |          0 |         14 |        121 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Users\UserValidator.ts                         | TypeScript         |         52 |          0 |          9 |         61 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTask.ts               | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskModel.ts          | TypeScript         |         67 |          0 |         15 |         82 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskOption.ts         | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Relations\WorkTaskOptionModel.ts    | TypeScript         |         32 |          0 |          7 |         39 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\Work.ts                             | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\WorkModel.ts                        | TypeScript         |         48 |          0 |         12 |         60 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Data\WorkRepository.ts                   | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\Services\WorkService.ts                  | TypeScript         |         37 |          0 |         14 |         51 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\WorkController.ts                        | TypeScript         |        105 |          0 |         13 |        118 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\Works\WorkValidator.ts                         | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\src\main.ts                                        | TypeScript         |         19 |          2 |          8 |         29 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\test\modules.spec.ts                               | TypeScript         |        345 |          0 |         32 |        377 |
| c:\Users\nukle\OneDrive\projects\noo\web-2.0\tsconfig.json                                      | JSON with Comments |         32 |          0 |          1 |         33 |
| Total                                                                                           |                    |      6,330 |         12 |        410 |      6,752 |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
